timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729768724613,196,GET homepage-1,200,OK,no-8-prak-3 1-290,text,true,,783,189,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,196,0,0
1729768724129,681,GET homepage,200,OK,no-8-prak-3 1-166,text,true,,1101,377,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,488,0,0
1729768724129,488,GET homepage-0,302,Found,no-8-prak-3 1-166,text,true,,318,188,285,285,http://gryffindor.hogwarts.d02.com/php/home.php,488,0,0
1729768724617,193,GET homepage-1,200,OK,no-8-prak-3 1-166,text,true,,783,189,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,193,0,0
1729768724113,700,GET homepage,200,OK,no-8-prak-3 1-256,text,true,,1101,377,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,562,0,0
1729768724113,562,GET homepage-0,302,Found,no-8-prak-3 1-256,text,true,,318,188,285,285,http://gryffindor.hogwarts.d02.com/php/home.php,562,0,0
1729768724675,138,GET homepage-1,200,OK,no-8-prak-3 1-256,text,true,,783,189,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,138,0,0
1729768723946,867,GET homepage,200,OK,no-8-prak-3 1-285,text,true,,1101,377,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,794,0,0
1729768723946,794,GET homepage-0,302,Found,no-8-prak-3 1-285,text,true,,318,188,285,285,http://gryffindor.hogwarts.d02.com/php/home.php,794,0,0
1729768724740,73,GET homepage-1,200,OK,no-8-prak-3 1-285,text,true,,783,189,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,73,0,0
1729768723729,1086,GET homepage,200,OK,no-8-prak-3 1-229,text,true,,1101,377,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,221,0,0
1729768723729,221,GET homepage-0,302,Found,no-8-prak-3 1-229,text,true,,318,188,285,285,http://gryffindor.hogwarts.d02.com/php/home.php,221,0,0
1729768724517,298,GET homepage-1,200,OK,no-8-prak-3 1-229,text,true,,783,189,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,298,0,0
1729768723666,1149,GET Logout,200,OK,no-8-prak-3 1-231,text,true,,1101,379,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,996,0,0
1729768723666,996,GET Logout-0,302,Found,no-8-prak-3 1-231,text,true,,318,190,285,285,http://gryffindor.hogwarts.d02.com/php/logout.php,996,0,0
1729768724662,153,GET Logout-1,200,OK,no-8-prak-3 1-231,text,true,,783,189,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,153,0,0
1729768723788,1029,GET Logout,200,OK,no-8-prak-3 1-205,text,true,,1101,379,285,285,http://gryffindor.hogwarts.d02.com/php/login.php,836,0,0
1729768723788,836,GET Logout-0,302,Found,no-8-prak-3 1-205,text,true,,318,190,285,285,http://gryffindor.hogwarts.d02.com/php/logout.php,836,0,0
